PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=425 ttl=64 time=10.7 ms
64 bytes from 10.0.0.2: icmp_seq=428 ttl=64 time=9.70 ms
64 bytes from 10.0.0.2: icmp_seq=430 ttl=64 time=12.1 ms
64 bytes from 10.0.0.2: icmp_seq=431 ttl=64 time=9.94 ms
64 bytes from 10.0.0.2: icmp_seq=432 ttl=64 time=10.2 ms
64 bytes from 10.0.0.2: icmp_seq=434 ttl=64 time=11.2 ms
64 bytes from 10.0.0.2: icmp_seq=436 ttl=64 time=7.79 ms
64 bytes from 10.0.0.2: icmp_seq=437 ttl=64 time=13.2 ms
64 bytes from 10.0.0.2: icmp_seq=438 ttl=64 time=10.6 ms
64 bytes from 10.0.0.2: icmp_seq=440 ttl=64 time=13.6 ms
64 bytes from 10.0.0.2: icmp_seq=441 ttl=64 time=23.3 ms
64 bytes from 10.0.0.2: icmp_seq=444 ttl=64 time=6.48 ms
64 bytes from 10.0.0.2: icmp_seq=446 ttl=64 time=9.36 ms
64 bytes from 10.0.0.2: icmp_seq=447 ttl=64 time=8.91 ms
64 bytes from 10.0.0.2: icmp_seq=449 ttl=64 time=7.45 ms
64 bytes from 10.0.0.2: icmp_seq=450 ttl=64 time=9.34 ms
64 bytes from 10.0.0.2: icmp_seq=451 ttl=64 time=7.42 ms
64 bytes from 10.0.0.2: icmp_seq=455 ttl=64 time=16.0 ms
64 bytes from 10.0.0.2: icmp_seq=457 ttl=64 time=15.9 ms
64 bytes from 10.0.0.2: icmp_seq=459 ttl=64 time=7.51 ms
64 bytes from 10.0.0.2: icmp_seq=460 ttl=64 time=12.1 ms
64 bytes from 10.0.0.2: icmp_seq=461 ttl=64 time=11.0 ms
64 bytes from 10.0.0.2: icmp_seq=462 ttl=64 time=3.92 ms
64 bytes from 10.0.0.2: icmp_seq=463 ttl=64 time=9.88 ms
64 bytes from 10.0.0.2: icmp_seq=464 ttl=64 time=9.37 ms
64 bytes from 10.0.0.2: icmp_seq=465 ttl=64 time=13.1 ms
64 bytes from 10.0.0.2: icmp_seq=466 ttl=64 time=11.6 ms
64 bytes from 10.0.0.2: icmp_seq=467 ttl=64 time=10.7 ms
64 bytes from 10.0.0.2: icmp_seq=468 ttl=64 time=9.64 ms
64 bytes from 10.0.0.2: icmp_seq=469 ttl=64 time=11.7 ms
64 bytes from 10.0.0.2: icmp_seq=470 ttl=64 time=9.61 ms
64 bytes from 10.0.0.2: icmp_seq=471 ttl=64 time=7.70 ms
64 bytes from 10.0.0.2: icmp_seq=472 ttl=64 time=15.0 ms
64 bytes from 10.0.0.2: icmp_seq=473 ttl=64 time=12.7 ms
64 bytes from 10.0.0.2: icmp_seq=474 ttl=64 time=8.11 ms
64 bytes from 10.0.0.2: icmp_seq=475 ttl=64 time=7.13 ms
64 bytes from 10.0.0.2: icmp_seq=477 ttl=64 time=10.6 ms
64 bytes from 10.0.0.2: icmp_seq=478 ttl=64 time=6.70 ms
64 bytes from 10.0.0.2: icmp_seq=479 ttl=64 time=14.8 ms
64 bytes from 10.0.0.2: icmp_seq=484 ttl=64 time=8.61 ms
64 bytes from 10.0.0.2: icmp_seq=485 ttl=64 time=8.93 ms
64 bytes from 10.0.0.2: icmp_seq=487 ttl=64 time=10.4 ms
64 bytes from 10.0.0.2: icmp_seq=488 ttl=64 time=6.16 ms
64 bytes from 10.0.0.2: icmp_seq=489 ttl=64 time=11.2 ms
64 bytes from 10.0.0.2: icmp_seq=491 ttl=64 time=7.83 ms
64 bytes from 10.0.0.2: icmp_seq=493 ttl=64 time=9.38 ms
64 bytes from 10.0.0.2: icmp_seq=494 ttl=64 time=7.22 ms
64 bytes from 10.0.0.2: icmp_seq=495 ttl=64 time=8.99 ms
64 bytes from 10.0.0.2: icmp_seq=496 ttl=64 time=8.07 ms
64 bytes from 10.0.0.2: icmp_seq=497 ttl=64 time=8.92 ms
64 bytes from 10.0.0.2: icmp_seq=498 ttl=64 time=14.5 ms
64 bytes from 10.0.0.2: icmp_seq=499 ttl=64 time=9.47 ms
64 bytes from 10.0.0.2: icmp_seq=501 ttl=64 time=10.9 ms
64 bytes from 10.0.0.2: icmp_seq=502 ttl=64 time=8.91 ms
64 bytes from 10.0.0.2: icmp_seq=503 ttl=64 time=12.1 ms
64 bytes from 10.0.0.2: icmp_seq=504 ttl=64 time=9.42 ms
64 bytes from 10.0.0.2: icmp_seq=505 ttl=64 time=8.77 ms
64 bytes from 10.0.0.2: icmp_seq=507 ttl=64 time=9.27 ms
64 bytes from 10.0.0.2: icmp_seq=508 ttl=64 time=7.53 ms
64 bytes from 10.0.0.2: icmp_seq=509 ttl=64 time=10.3 ms
64 bytes from 10.0.0.2: icmp_seq=510 ttl=64 time=12.5 ms
64 bytes from 10.0.0.2: icmp_seq=511 ttl=64 time=11.0 ms
64 bytes from 10.0.0.2: icmp_seq=512 ttl=64 time=7.42 ms
64 bytes from 10.0.0.2: icmp_seq=513 ttl=64 time=10.7 ms
64 bytes from 10.0.0.2: icmp_seq=514 ttl=64 time=8.17 ms
